tig00000001 LN:i:4826149
tig00000003 LN:i:3116336
tig00000005 LN:i:3193897
tig00000010 LN:i:134836
tig00000011 LN:i:3229470
tig00000013 LN:i:3083933
tig00000016 LN:i:2326265
tig00000022 LN:i:294266
tig00000023 LN:i:1422456
tig00000025 LN:i:1464200
tig00000028 LN:i:1154751
tig00000030 LN:i:932948
tig00000033 LN:i:667093
tig00000038 LN:i:164655
tig00000050 LN:i:148143
tig00000094 LN:i:64060
tig00000107 LN:i:81351
tig00000299 LN:i:4814360
tig00000300 LN:i:73608
tig00000302 LN:i:3126883
tig00000304 LN:i:195777
